"uniname";"uniurl";"scountryname";"unirank"
"Alagappa University  ";"http://www.alagappauniversity.ac.in/";"in";"9170"
"BPP Law School";"http://www.bpplawschool.com/";"uk";"9171"
"New York College of Podiatric Medicine";"http://www.nycpm.edu/";"us";"9172"
"Musikene Centro Superior de Musica del Pais Vasco";"http://www.musikene.net/";"es";"9173"
"Haute École de la Communaute Française en Hainaut";"http://www.hecfh.be/";"be";"9174"
"Reshetnev Siberian State Aerospace University";"http://www.sibsau.ru/";"ru";"9175"
"Postgraduate Institute of Agriculture";"http://www.pgia.ac.lk/";"lk";"9176"
"Azerbaijan Diplomatic Academy";"http://www.ada.edu.az/";"az";"9177"
"Copenhagen West Business College";"http://www.cphwest.dk/";"dk";"9178"
"Petroleum University of Technology Abadan";"http://www.put.ac.ir/";"ir";"9179"
"Soai University";"http://www.soai.ac.jp/";"jp";"9180"
"Holy Apostles College & Seminary";"http://www.holyapostles.edu/";"us";"9181"
"Nscad University";"http://nscad.ca/";"ca";"9182"
"State Higher Vocational School in Wloclawek";"http://www.pwsz.wloclawek.pl/";"pl";"9183"
"Académie Libanaise des Beaux-Arts";"http://www.alba.edu/";"lb";"9184"
"Southeastern University Washington DC";"http://www.seu.edu/";"us";"9185"
"Lower Silesian College of Entrepreneurship and Technology in Polkowice";"http://www.dwspit.pl/";"pl";"9186"
"Laramie County Community College";"http://www.lccc.cc.wy.us/";"us";"9187"
"Universidad Santo Tomás Bucaramanga";"http://web.ustabuca.edu.co/";"co";"9188"
"Faculdade de Sergipe";"http://www.fase-se.edu.br/";"br";"9189"
"Nature Care College";"http://www.naturecare.com.au/";"au";"9190"
"Nagoya Economics University";"http://www.nagoya-ku.ac.jp/";"jp";"9191"
"Center of Higher Education Mid-West";"http://www.cvumidtvest.dk/";"dk";"9192"
"UNISEP União das Instituições de Serviços, Ensino e Pesquisa  ";"http://www.scelisul.com.br/";"br";"9193"
"Université de Hearst";"http://www.uhearst.ca/";"ca";"9194"
"God s Bible School and College";"http://www.gbs.edu/";"us";"9195"
"Guangxi Technological College of Machinery and Electricity";"http://www.gxcme.edu.cn/";"cn";"9196"
"University Nord";"http://www.nord.ee/";"ee";"9197"
"School of Humanities and Journalism in Poznan";"http://www.wsnhid.pl/";"pl";"9198"
"Chhattisgarh Swami Vivekanand Technical University";"http://www.csvtu.ac.in/";"in";"9199"
"Swainsboro Technical College";"http://www.swainsborotech.edu/";"us";"9200"
"Hochschule Kempten";"http://www.hochschule-kempten.de/";"de";"9201"
"Acharya N G Ranga Agricultural University";"http://www.angrau.net/";"in";"9202"
"Escola Superior de Saúde Egas Moniz";"http://www.egasmoniz.edu.pt/";"pt";"9203"
"International Sakharov Environmental University Minsk";"http://www.iseu.by/";"by";"9204"
"Universidad de América Bogotá";"http://www.uamerica.edu.co/";"co";"9205"
"Marijampole College";"http://www.marko.lt/";"lt";"9206"
"Punjab Engineering College";"http://www.pec.ac.in/";"in";"9207"
"Tianjin Radia & TV University";"http://www.tjrtvu.edu.cn/";"cn";"9208"
"Shahid Rajaee Teacher Training University Tehran";"http://www.srttu.edu/";"ir";"9209"
"Tartu Aviation College";"http://www.eava.ee/";"ee";"9210"
"Sitting Bull College";"http://www.sittingbull.edu/";"us";"9211"
"École Nationale d Administration Maroc";"http://w3.ena.ac.ma/";"ma";"9212"
"Senai RS";"http://www.senairs.org.br/";"br";"9213"
"The College of Law";"http://www.collaw.edu.au/";"au";"9214"
"Universidad Central";"http://www.unicen.edu.bo/";"bo";"9215"
"Rich Mountain Community College";"http://www.rmcc.edu/";"us";"9216"
"Université Hassan 1er";"http://www.uh1.ac.ma/";"ma";"9217"
"Yang-En University";"http://www.yeu.edu.cn/";"cn";"9218"
"Sandersville Technical College";"http://www.sandersvilletech.edu/";"us";"9219"
"Newman Theological College";"http://www.newman.edu/";"ca";"9220"
"Verwaltungs und Wirtschaftsakademie ";"http://www.vwa-gruppe-bcw.de/";"de";"9221"
"Concorde Career College";"http://www.concorde.edu/";"us";"9222"
"Norwalk Community College";"http://www.nctc.commnet.edu/";"us";"9223"
"Dongshin University";"http://www.dsu.kr/";"kr";"9224"
"Musashino Academy of Music";"http://www.musashino-music.ac.jp/";"jp";"9225"
"Bucheon College";"http://www.bc.ac.kr/";"kr";"9226"
"Bila Tserkva State Agrarian University";"http://www.btsau.kiev.ua/";"ua";"9227"
"North Bangkok College";"http://www.northbkk.ac.th/";"th";"9228"
"Sinte Gleska University";"http://www.sintegleska.edu/";"us";"9229"
"Centro Universitário Nossa Senhora do Patrocínio";"http://www.ceunsp.edu.br/";"br";"9230"
"Nanchang Institute of Technology  ";"http://www.nit.jx.cn/";"cn";"9231"
"Advanced Institute of Arts Rome";"http://www.isiaroma.it/";"it";"9232"
"All Hallows College";"http://www.allhallows.ie/";"ie";"9233"
"European School of Economics";"http://www.uniese.it/";"it";"9234"
"Technocite";"http://www.technocite.be/";"be";"9235"
"School of Pedagogical and Technological Education";"http://www.aspete.gr/";"gr";"9236"
"Miyazaki Prefectural Nursing University";"http://www.mpu.ac.jp/";"jp";"9237"
"Berufsakademie Hameln";"http://www.baw-hameln.de/";"de";"9238"
"Uganda Christian University";"http://www.ucu.ac.ug/";"ug";"9239"
"Boleslaw Markowski Higher School of Commerce in Kielce";"http://www.wsh-kielce.edu.pl/";"pl";"9240"
"Kuwait Institute for Medical Specialization";"http://www.kims.org.kw/";"kw";"9241"
"Erasmushogeschool Brussel";"http://www.kcb.be/";"be";"9242"
"Universitas Negeri Gorontalo";"http://www.ung.ac.id/";"id";"9243"
"Christ University Bangalore";"http://www.christuniversity.in/";"in";"9244"
